"T","U:0","U:1","U:2","alphat","k","nut","omega","p","Points:0","Points:1","Points:2"
253.58,661.12,2.9389,0,6.7542e-06,0.010052,0.0010089,9.9641,503.87,1,1.5043,0.05
253.58,661.11,2.9335,0,6.7543e-06,0.010052,0.0010089,9.964,503.89,1,1.517,0.05
253.58,661.11,2.9292,0,6.7545e-06,0.010052,0.0010088,9.9639,503.91,1,1.5298,0.05
253.59,661.1,2.9259,0,6.7547e-06,0.010052,0.0010089,9.9641,503.93,1,1.5427,0.05
253.59,661.1,2.9233,0,6.755e-06,0.010053,0.0010089,9.9642,503.94,1,1.5556,0.05
253.59,661.1,2.9214,0,6.7552e-06,0.010053,0.0010089,9.9643,503.96,1,1.5685,0.05
253.59,661.09,2.9201,0,6.7552e-06,0.010053,0.0010089,9.9642,503.97,1,1.5815,0.05
253.59,661.09,2.9193,0,6.7553e-06,0.010052,0.0010089,9.9641,503.98,1,1.5946,0.05
253.6,661.09,2.9188,0,6.7554e-06,0.010053,0.0010089,9.9642,503.99,1,1.6077,0.05
253.6,661.09,2.9185,0,6.7556e-06,0.010053,0.0010089,9.9643,504,1,1.6208,0.05
253.6,661.08,2.9185,0,6.7557e-06,0.010053,0.0010089,9.9643,504.01,1,1.6341,0.05
253.6,661.08,2.9188,0,6.7557e-06,0.010053,0.0010089,9.9643,504.02,1,1.6474,0.05
253.6,661.08,2.9194,0,6.7558e-06,0.010053,0.0010089,9.9642,504.03,1,1.6607,0.05
253.6,661.08,2.9203,0,6.7559e-06,0.010053,0.0010089,9.9643,504.04,1,1.6741,0.05
253.6,661.08,2.9217,0,6.756e-06,0.010053,0.0010089,9.9644,504.04,1,1.6875,0.05
253.6,661.08,2.9233,0,6.7561e-06,0.010053,0.0010089,9.9643,504.05,1,1.701,0.05
253.6,661.07,2.925,0,6.7561e-06,0.010053,0.0010089,9.9642,504.06,1,1.7146,0.05
253.61,661.07,2.9268,0,6.7561e-06,0.010053,0.0010089,9.9643,504.06,1,1.7282,0.05
253.61,661.07,2.9286,0,6.7562e-06,0.010053,0.0010089,9.9643,504.07,1,1.7419,0.05
253.61,661.07,2.9304,0,6.7563e-06,0.010053,0.0010089,9.9644,504.07,1,1.7557,0.05
253.61,661.07,2.932,0,6.7563e-06,0.010053,0.0010089,9.9643,504.08,1,1.7695,0.05
253.61,661.07,2.9336,0,6.7563e-06,0.010053,0.0010089,9.9643,504.09,1,1.7833,0.05
253.61,661.07,2.9351,0,6.7564e-06,0.010053,0.0010089,9.9643,504.09,1,1.7972,0.05
253.61,661.06,2.9365,0,6.7565e-06,0.010053,0.0010089,9.9643,504.1,1,1.8112,0.05
253.61,661.06,2.9378,0,6.7565e-06,0.010053,0.0010089,9.9643,504.11,1,1.8252,0.05
253.61,661.06,2.9391,0,6.7566e-06,0.010053,0.0010089,9.9642,504.12,1,1.8393,0.05
253.61,661.06,2.9403,0,6.7567e-06,0.010053,0.0010089,9.9643,504.12,1,1.8535,0.05
253.62,661.06,2.9415,0,6.7568e-06,0.010053,0.0010089,9.9644,504.13,1,1.8677,0.05
253.62,661.06,2.9427,0,6.7569e-06,0.010053,0.0010089,9.9643,504.14,1,1.882,0.05
253.62,661.05,2.9438,0,6.7569e-06,0.010053,0.0010089,9.9643,504.15,1,1.8963,0.05
253.62,661.05,2.945,0,6.7571e-06,0.010053,0.0010089,9.9644,504.16,1,1.9107,0.05
253.62,661.05,2.9462,0,6.7572e-06,0.010053,0.0010089,9.9645,504.16,1,1.9252,0.05
253.62,661.05,2.9474,0,6.7572e-06,0.010053,0.0010089,9.9644,504.17,1,1.9397,0.05
253.62,661.05,2.9486,0,6.7573e-06,0.010053,0.0010089,9.9643,504.18,1,1.9543,0.05
253.62,661.04,2.9499,0,6.7574e-06,0.010053,0.0010089,9.9644,504.19,1,1.9689,0.05
253.63,661.04,2.9512,0,6.7575e-06,0.010053,0.0010089,9.9645,504.2,1,1.9836,0.05
253.63,661.04,2.9526,0,6.7576e-06,0.010053,0.0010089,9.9644,504.21,1,1.9984,0.05
253.63,661.04,2.954,0,6.7576e-06,0.010053,0.0010089,9.9644,504.22,1,2.0132,0.05
253.63,661.04,2.9554,0,6.7577e-06,0.010053,0.0010089,9.9644,504.22,1,2.0281,0.05
253.63,661.03,2.9569,0,6.7579e-06,0.010053,0.0010089,9.9645,504.23,1,2.0431,0.05
253.63,661.03,2.9584,0,6.7579e-06,0.010053,0.0010089,9.9645,504.24,1,2.0581,0.05
253.63,661.03,2.96,0,6.758e-06,0.010053,0.0010089,9.9644,504.25,1,2.0732,0.05
253.64,661.03,2.9615,0,6.7581e-06,0.010053,0.0010089,9.9645,504.26,1,2.0883,0.05
253.64,661.03,2.9631,0,6.7583e-06,0.010053,0.0010089,9.9646,504.27,1,2.1035,0.05
253.64,661.02,2.9648,0,6.7584e-06,0.010053,0.0010089,9.9646,504.28,1,2.1188,0.05
253.64,661.02,2.9664,0,6.7584e-06,0.010053,0.0010089,9.9645,504.29,1,2.1342,0.05
253.64,661.02,2.968,0,6.7585e-06,0.010053,0.0010089,9.9646,504.3,1,2.1496,0.05
253.64,661.02,2.9697,0,6.7587e-06,0.010053,0.0010089,9.9646,504.31,1,2.165,0.05
253.64,661.02,2.9714,0,6.7587e-06,0.010053,0.0010089,9.9646,504.32,1,2.1806,0.05
253.64,661.01,2.9732,0,6.7587e-06,0.010053,0.0010089,9.9645,504.33,1,2.1962,0.05
253.65,661.01,2.9749,0,6.7589e-06,0.010053,0.0010089,9.9646,504.33,1,2.2118,0.05
253.65,661.01,2.9767,0,6.759e-06,0.010053,0.0010089,9.9646,504.34,1,2.2276,0.05
253.65,661.01,2.9785,0,6.7591e-06,0.010053,0.0010089,9.9646,504.35,1,2.2434,0.05
253.65,661.01,2.9804,0,6.7592e-06,0.010054,0.0010089,9.9647,504.36,1,2.2593,0.05
253.65,661,2.9823,0,6.7594e-06,0.010054,0.0010089,9.9648,504.37,1,2.2752,0.05
253.65,661,2.9842,0,6.7595e-06,0.010054,0.0010089,9.9647,504.38,1,2.2912,0.05
253.65,661,2.9861,0,6.7595e-06,0.010054,0.0010089,9.9647,504.4,1,2.3073,0.05
253.66,661,2.9881,0,6.7597e-06,0.010054,0.0010089,9.9648,504.41,1,2.3234,0.05
253.66,660.99,2.9901,0,6.7598e-06,0.010054,0.0010089,9.9648,504.42,1,2.3396,0.05
253.66,660.99,2.9921,0,6.7599e-06,0.010054,0.0010089,9.9648,504.43,1,2.3559,0.05
253.66,660.99,2.9941,0,6.76e-06,0.010054,0.0010089,9.9648,504.44,1,2.3723,0.05
253.66,660.99,2.9962,0,6.7601e-06,0.010054,0.0010089,9.9648,504.45,1,2.3887,0.05
253.66,660.98,2.9983,0,6.7602e-06,0.010054,0.0010089,9.9648,504.46,1,2.4052,0.05
253.67,660.98,3.0004,0,6.7604e-06,0.010054,0.0010089,9.9649,504.47,1,2.4217,0.05
253.67,660.98,3.0025,0,6.7606e-06,0.010054,0.001009,9.965,504.48,1,2.4384,0.05
253.67,660.98,3.0046,0,6.7607e-06,0.010054,0.001009,9.965,504.49,1,2.4551,0.05
253.67,660.97,3.0068,0,6.7608e-06,0.010054,0.001009,9.9651,504.51,1,2.4718,0.05
253.67,660.97,3.0089,0,6.761e-06,0.010054,0.001009,9.9651,504.52,1,2.4887,0.05
253.67,660.97,3.0111,0,6.7611e-06,0.010054,0.001009,9.9651,504.53,1,2.5056,0.05
253.68,660.97,3.0134,0,6.7612e-06,0.010054,0.001009,9.9651,504.54,1,2.5226,0.05
253.68,660.96,3.0157,0,6.7613e-06,0.010054,0.001009,9.9651,504.55,1,2.5396,0.05
253.68,660.96,3.018,0,6.7614e-06,0.010054,0.001009,9.965,504.56,1,2.5568,0.05
253.68,660.96,3.0204,0,6.7615e-06,0.010054,0.001009,9.965,504.58,1,2.574,0.05
253.68,660.95,3.0228,0,6.7615e-06,0.010054,0.0010089,9.965,504.59,1,2.5913,0.05
253.69,660.95,3.0253,0,6.7615e-06,0.010054,0.0010089,9.9649,504.6,1,2.6086,0.05
253.69,660.95,3.0278,0,6.7616e-06,0.010054,0.0010089,9.9648,504.61,1,2.626,0.05
253.69,660.95,3.0304,0,6.7615e-06,0.010053,0.0010089,9.9646,504.63,1,2.6435,0.05
253.69,660.94,3.033,0,6.7615e-06,0.010053,0.0010089,9.9644,504.64,1,2.6611,0.05
253.69,660.94,3.0356,0,6.7615e-06,0.010052,0.0010088,9.9642,504.65,1,2.6787,0.05
253.69,660.94,3.0383,0,6.7614e-06,0.010052,0.0010088,9.9641,504.66,1,2.6965,0.05
253.7,660.93,3.041,0,6.7614e-06,0.010052,0.0010088,9.964,504.68,1,2.7143,0.05
253.7,660.93,3.0438,0,6.7615e-06,0.010052,0.0010088,9.9639,504.69,1,2.7321,0.05
253.7,660.93,3.0466,0,6.7616e-06,0.010051,0.0010088,9.9638,504.7,1,2.7501,0.05
253.7,660.93,3.0495,0,6.7618e-06,0.010052,0.0010088,9.9639,504.72,1,2.7681,0.05
253.7,660.92,3.0524,0,6.762e-06,0.010052,0.0010088,9.9641,504.73,1,2.7862,0.05
253.71,660.92,3.0553,0,6.7623e-06,0.010052,0.0010088,9.9643,504.74,1,2.8044,0.05
253.71,660.92,3.0583,0,6.7627e-06,0.010053,0.0010089,9.9646,504.76,1,2.8227,0.05
253.71,660.91,3.0614,0,6.7631e-06,0.010054,0.0010089,9.9649,504.77,1,2.841,0.05
253.71,660.91,3.0645,0,6.7635e-06,0.010055,0.001009,9.9652,504.78,1,2.8594,0.05
253.71,660.91,3.0677,0,6.7639e-06,0.010055,0.001009,9.9655,504.8,1,2.8779,0.05
253.72,660.9,3.071,0,6.7641e-06,0.010055,0.001009,9.9655,504.81,1,2.8965,0.05
253.72,660.9,3.0744,0,6.7641e-06,0.010055,0.001009,9.9654,504.83,1,2.9151,0.05
253.72,660.9,3.0779,0,6.7638e-06,0.010054,0.0010089,9.965,504.84,1,2.9338,0.05
253.72,660.89,3.0814,0,6.7636e-06,0.010053,0.0010089,9.9646,504.86,1,2.9526,0.05
253.73,660.89,3.0853,0,6.7635e-06,0.010052,0.0010088,9.9642,504.87,1,2.9715,0.05
253.73,660.89,3.0891,0,6.7628e-06,0.01005,0.0010087,9.9632,504.89,1,2.9905,0.05
